"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"Buca Şirinyer Hürriyet MAhallesi//Nato karşısı //Dominoz Pizza caivarı//İzbana 8-10dk//DUBLEX 3+1/DA","25.000 TL","85846-1862","07-10-2024","Daire","3 + 1","150 m2","4. Kat","25 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","","","Kat İrtifakı","","","25.000 TL","Doğalgaz","","","","","","",""
"Buca Dumlupınar Mah. 2+1 Eşyalı Kiralık Daire","20.000 TL","126264-1729","30-09-2024","Daire","2 + 1","80 m2","4. Kat","9 Yaşında","Kombi","4 Katlı","Eşyalı","1","","İkinci El","Boş","","","Doğu, Batı","","","","","Evet","","","",""
"Buca Tınaztepe Kampüs Karşısı 2+1 EŞYALI KİRALIK DAİRE 60m2","14.500 TL","104457-66","17-10-2024","Daire","2 + 1","65 m2","Zemin","5 Yaşında","Klima","2 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Tapu Yok","","Kuzey, Güney","14.500 TL","Elektrik","","","Evet","","","",""
"ŞİRİNYER İZBAN YAKINI 3+1 ARAKAT DAİRE","18.500 TL","102557-419","13-10-2024","Daire","3 + 1","140 m2","3. Kat","26 Yaşında","Isıtma Yok","4 Katlı","Eşyalı Değil","1","","","Boş","","","","18.500 TL","","","","","","","",""
"sahibinden temmuza kadar kiralık eşyalı stüdyo daire","13.000 TL","0-43409359","30-09-2024","Daire","1 + 1","40 m2","Bahçe Katı","5 Yaşında","Klima","5 Katlı","Eşyalı","1","","","","","50 TL","","13.000 TL","","","","","","","",""
"GOLDİA YAPI’DAN KAMPÜS YAKINI KİRALIK 1+1","15.500 TL","142618-214","13-10-2024","Daire","1 + 1","55 m2","1. Kat","1 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","Sıfır","Kiracılı","","150 TL","Kuzey, Güney, Doğu, Batı","15.500 TL","Doğalgaz","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"1+1 ve 2+1 Lüks Apart Daireler - Konforlu ve Lüks Günlük Evler","400 TL","138098-21","03-10-2024","Daire","2 + 1","80 m2","En Üst Kat","5 Yaşında","Klima","5 Katlı","Eşyalı","1","","","","","","","","","","","Evet","","","",""
"GÜNEŞ'TEN 3+1 135m2 D.GAZLI EŞYALI İZBANA 5DK KİRALIK DAİRE","27.500 TL","130324-782","15-10-2024","Daire","3 + 1","130 m2","Yüksek Giriş","4 Yaşında","Kombi","4 Katlı","Eşyalı","2","","","Boş","","","","","","","","","Uygun değil","","",""
"-AY GAYRİMENKUL'DEN- YAYLACIK MH. 4+1 EŞYALI KİRALIK DAİRE!!","24.950 TL","144455-57","27-09-2024","Daire","4 + 1","140 m2","3. Kat","16 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","150 TL","Güney, Batı","","","","","","Uygun değil","","",""
"Buca Koop'da 3+1 Arakat 3 Balkonlu Asansörlü Kiralık Daire","17.000 TL","139799-521","17-10-2024","Daire","3 + 1","139 m2","2. Kat","20 Yaşında","Kombi","9 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","150 TL","Güney, Doğu","18.000 TL","Doğalgaz","","","Evet","","","",""
"ER YAPI EMLAK'TAN ŞİRİNYER FORBES YANI 3+1 BALKONLU D.GAZLI","25.000 TL","68864-2462","10-10-2024","Daire","3 + 1","155 m2","3. Kat","31 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","","","Boş","Kat Mülkiyeti","","","","","","","","Uygun değil","","",""
"BUCA VALİRAHMİBEY MAHALLESİNDE 3+1 140 M2 KİRALİK EV","22.000 TL","146020-65","12-10-2024","Daire","3 + 1","150 m2","4. Kat","28 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","İkinci El","Boş","","","","22.000 TL","Doğalgaz","","","","","","",""
"YAYLACIK MAH. MEVLANA YAKINI 3+1 ARAKAT KİRALIK DAİRE","22.000 TL","18435-5238","18-10-2024","Daire","3 + 1","130 m2","3. Kat","10 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","Betonarme","Boş","","","","22.000 TL","Doğalgaz","","","","","","Hayır",""
"NİRVANA'DAN EVKA1 DE EŞYALI KİRALIK DUBLEKS MÜSATKİL EV","32.500 TL","145175-68","12-10-2024","Müstakil Ev","3 + 1","110 m2","Bahçe Katı","26 Yaşında","Kombi","2 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","","Doğu, Batı","","","","","","Uygun değil","","",""
"ADATEPEDE Üniversiteye Yakın .Eşyalı Kiralık Daire","19.000 TL","125876-1407","09-10-2024","Daire","2 + 1","85 m2","En Üst Kat","25 Yaşında","Klima","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","Güney","15.000 TL","Elektrik","","","Evet","","","",""
"YESEVİ YURDU CADDESİNDE SIFIR EŞYALI KİRALIK DAİRE","18.000 TL","145398-51","28-09-2024","Daire","1 + 1","55 m2","2. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","","Kat İrtifakı","","","","Doğalgaz","","","","","","",""
"BARIŞ MAH 1+1 DOĞALGAZLI EŞYALI KİRALIK DAİRE","18.500 TL","124272-351","27-09-2024","Daire","1 + 1","65 m2","Zemin","8 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","","18.500 TL","Doğalgaz","","","Evet","","","",""
"TURYAP BUCA'DAN ÇAMLIKULE'DE 2+1 D. GAZLI GENİŞ DAİRE","15.500 TL","15356-5738","10-10-2024","Daire","2 + 1","100 m2","Zemin","16 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","İkinci El","Boş","","","","15.500 TL","Doğalgaz","","","","","","Hayır",""
"ADA EMLAKTAN BUCA ATATÜRK MAH.KİRALIK 2+1 EŞYALI , DGZ, DAİRE","20.000 TL","145203-34","15-10-2024","Daire","2 + 1","85 m2","2. Kat","5 Yaşında","Kombi","2 Katlı","Eşyalı","1","","","Boş","","250 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"PARİSA""DAN SİTE İÇİNDE YÜZME HAVUZLU SPOR SALONLU EŞYALI DOĞALGAZLI İKİ ADET KLİMASI VAR","17.000 TL","143816-4","17-10-2024","Daire","1 + 1","55 m2","Yüksek Giriş","5 Yaşında","Kombi","6 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","1.650 TL","Kuzey, Güney","","Doğalgaz","","","Evet","","","",""
"BUCA YİĞİTLERDE BAKIMLI . FERAH  2+ 1  KİRALIK DAİRE","20.000 TL","24511-9094","05-10-2024","Daire","2 + 1","90 m2","3. Kat","19 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","İkinci El","Boş","Kat İrtifakı","50 TL","Doğu","20.000 TL","Doğalgaz","1","1","Evet","","","",""
"HASANAĞA VE ÇEVİKBİR YAKINI GENİŞ / 1+1 / D.GAZLI KİRALIK DAİRE","14.750 TL","104457-67","17-10-2024","Daire","1 + 1","75 m2","En Üst Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Tapu Yok","","Kuzey, Güney","15.000 TL","Doğalgaz","","","Evet","","","",""
"MARKA'DAN ÜÇKUYULAR MEYDANDA ASANSÖRLÜ YENİ BİNADA D.GAZLI 1+1","20.000 TL","71024-1026","17-10-2024","Daire","1 + 1","55 m2","2. Kat","Sıfır Bina","Yerden Isıtma","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"BUCA'DA ÜNİVERSİTE'YE YAKIN BEKAR VE ÖĞRENCİYE UYGUN ULAŞIMI KOLAY 1+1 ARAKAT KİRALIK DAİRE","11.500 TL","150876-4","17-10-2024","Daire","1 + 1","45 m2","Ara Kat","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","Kat İrtifakı","100 TL","Doğu","12.500 TL","Doğalgaz","","","Evet","","","",""
"İzmir Buca Kozağaç Meydanda//Cade üzeri 1.kat Ve Bahçekatı.2+1Kiralık Daireler","13.000 TL","85846-1864","12-10-2024","Daire","2 + 1","75 m2","Yüksek Giriş","21 Yaşında","Kombi","3 Katlı","","1","Betonarme","","","Kat Mülkiyeti","","","13.000 TL","Doğalgaz","","","","","","",""
"KAMPÜS YAKINI- HAVUZLU SİTE İÇİ KİRALIK 1+1 70m2 DAİRE!!","21.000 TL","145608-24","24-08-2024","Daire","1 + 1","70 m2","3. Kat","4 Yaşında","Merkezi (Pay Ölçer)","6 Katlı","Eşyalı","1","Betonarme","","Boş","","1.050 TL","Güney, Doğu","18.000 TL","Doğalgaz","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"AY GAYRİMENKUL'DEN ADATEPE MH. 3+1 GENİŞ EYŞALI KİRALIK DAİRE!!","18.000 TL","144455-59","11-10-2024","Daire","3 + 1","130 m2","4. Kat","11 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","","100 TL","Güney, Batı","","","","","","Uygun değil","","",""
"Buca Batı Çıkışı  Doğalgazlı Full Eşyalı Lüx 3+1","25.500 TL","118269-184","10-10-2024","Daire","3 + 1","130 m2","Yüksek Giriş","12 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","Kuzey, Batı","30.000 TL","Doğalgaz","","","Evet","","","",""
"Kiralık daire (öğrenciye)","22.000 TL","0-43311816","04-09-2024","Daire","3 + 1","110 m2","2. Kat","15 Yaşında","Klima","5 Katlı","Eşyalı","1","","","","","","","40.000 TL","","","","","","","",""
"BUCA YAYLACIK MAHALLESİ KİRALIK DAİRE","13.000 TL","148573-65","30-09-2024","Daire","1 + 1","50 m2","Giriş Katı","Sıfır Bina","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Kuzey, Güney, Doğu, Batı","","","","","","Uygun değil","","",""
"Smyrna Team KW’ den Buca Kuruçeşme’de Kiralık 3+1 Arakat Daire","28.000 TL","31220-9321","18-09-2024","Daire","3 + 1","120 m2","4. Kat","27 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","","","Boş","","","","28.000 TL","Doğalgaz","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"Sahibinden SAHİBİNDEN FULL EŞYALI, DOĞAL GAZLI, KLİMALI, 2+1 KİRALIK DAİRE","22.000 TL","0-43411401","20-09-2024","Daire","2 + 1","100 m2","3. Kat","10 Yaşında","Kombi","4 Katlı","Eşyalı","2","Betonarme","Sıfır","Boş","","250 TL","","22.000 TL","Doğalgaz","","","","","","",""
"HAS CETINLERDEN KIRALIK 1+1","16.000 TL","143812-27","25-09-2024","Daire","1 + 1","55 m2","Yüksek Giriş","5 Yaşında","Kombi","2 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","100 TL","","","","","","","Uygun değil","","",""
"NATO KAVŞAĞINDA ASANSÖRLÜ OTOPARKLI BALKONLU DOĞALGAZLI 2+1","19.000 TL","147679-19","27-09-2024","Daire","2 + 1","85 m2","Yüksek Giriş","5 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat Mülkiyeti","","","","","","","","Uygun değil","","",""
"YEŞİLBAĞLAR MAH. BUCA AİLE APARTMANI 11BİN TL","11.000 TL","0-43477544","03-10-2024","Daire","2 + 1","100 m2","Zemin","30 Yaşında","Soba","4 Katlı","Eşyalı Değil","1","","İkinci El","Boş","Arsa","","","11.000 TL","Kömür-Odun","42132","18","","","","",""
"BUCA İNÖNÜ MAH. KİRALIK 2+1 DAİRE","25.000 TL","142512-107","10-10-2024","Daire","2 + 1","150 m2","Bahçe Katı","6 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","","İkinci El","Boş","","","Doğu, Batı","25.000 TL","","","","Evet","","","",""
"MYWAY RESİDANCE KİRALIK EŞYALI LOFT 1+1 DAİRE","25.000 TL","134354-1378","10-10-2024","Daire","1 + 1","80 m2","5. Kat","4 Yaşında","Merkezi (Pay Ölçer)","8 Katlı","Eşyalı","1","","","","","","","","","","","","","Evet (Site Adı Belirtilmemiş)","",""
"ERA NİVA'DAN ADATEPE'DE KİRALIK 3+1 DAİRE","20.000 TL","140088-428","10-10-2024","Daire","3 + 1","143 m2","Zemin","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","2","","","Boş","Kat İrtifakı","80 TL","","","","","","","Uygun değil","","",""
"YAYLACIK MAHALLESİ 2+1 AÇIK MUTFAK DOĞALGAZ ARAKAT EŞYALI","25.500 TL","145175-69","12-10-2024","Daire","2 + 1","80 m2","3. Kat","5 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","","","","","","","","Uygun değil","","",""
"SAFİR'den Kuruçeşme Kampüs Karşısı DoğalGaz. 2+1 DAİRE","15.000 TL","109159-284","14-10-2024","Daire","2 + 1","65 m2","2. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","","","","","","","Uygun değil","","",""
"KAMPÜSE YÜRÜME MESAFESİNDE GENİŞ BALKONLU EŞYALI 2+1","20.000 TL","142478-104","14-10-2024","Daire","2 + 1","55 m2","2. Kat","5 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","","100 TL","","","","","","","Uygun değil","","",""
"BUCA ADA EMLAK'TAN ATATÜRK MH.KİRALIK SİTE İÇİ 3+1 DGZLI DAİRE","18.000 TL","145203-37","15-10-2024","Daire","3 + 1","140 m2","2. Kat","16 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","","","Boş","","250 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"ARGA' DAN BUCA YEŞİLBAĞLARDA 2+1 D.GAZLI KİRALIK DAİRE.","15.000 TL","63598-125","10-10-2024","Daire","2 + 1","100 m2","3. Kat","25 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Kuzey, Güney","16.000 TL","Doğalgaz","","","Evet","","","",""
"PARİSA'DAN KAMPÜS KARŞISI D.GAZLI KLİMALI ASANSÖRLÜ EŞYALI 3+1","25.000 TL","143816-12","18-10-2024","Daire","3 + 1","135 m2","4. Kat","26 Yaşında","Kombi","8 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","600 TL","","","","","","","Uygun değil","Yeşil Meram Sitesi","",""
"GOLDİA YAPI’DAN TINAZTEPE YAKINI 1+1 EŞYALI KİRALIK DAİRE","16.000 TL","142618-210","18-10-2024","Daire","1 + 1","55 m2","2. Kat","3 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","Sıfır","Boş","","150 TL","Kuzey, Güney, Doğu, Batı","16.000 TL","Doğalgaz","","","Evet","","","",""
"BUCA YILDIZ'DA ÜNİ YAKINI 1+1 DOĞALGAZLI FULL EŞYALI BOYALI KLİMALI LÜX KİRALIK DAİRE","16.500 TL","111716-1081","19-10-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Kombi","2 Katlı","","1","","","","","","","16.500 TL","","","","","","","",""
"Buca mustafa kemal mah kiralık daire reb gayrimenkulden","22.000 TL","101303-364","20-09-2024","Daire","2 + 1","110 m2","Yüksek Giriş","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","2","Betonarme","Sıfır","Boş","","150 TL","Kuzey, Güney, Doğu, Batı","18.000 TL","Doğalgaz","","","Evet","","","",""
"MARKA'DAN D.GAZLI EŞYASIZ KİRALIK DAİRE","13.000 TL","71024-1036","19-10-2024","Daire","1 + 1","55 m2","Giriş Katı","4 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"Buca Özel Tınaztepe Hastanesine Yakın Eşyalı Kiralık 1+1 Daire","13.750 TL","31745-21451","26-09-2024","Daire","1 + 1","45 m2","Zemin","6 Yaşında","Kombi","2 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","50 TL","Batı","30.000 TL","Doğalgaz","","","Evet","","","",""
"ADATEPEDE HASANAĞA BAHÇESİNE YÜRÜME MESAFESİNDE KİRALIK 2+1","20.000 TL","124272-354","27-09-2024","Daire","2 + 1","85 m2","1. Kat","5 Yaşında","Kombi","4 Katlı","Eşyalı Değil","","Betonarme","İkinci El","Boş","Kat İrtifakı","","","20.000 TL","Doğalgaz","","","Evet","","","",""
"buca kozagaç mahhalessi  cadde üzeri 2+1 bakımlı kiralık daire","15.000 TL","125390-227","14-10-2024","Daire","2 + 1","100 m2","1. Kat","25 Yaşında","Klima","4 Katlı","","1","","","","Kat İrtifakı","","","","","","","","","","",""
"İZMİR BUCA GÜNLÜK KİRALIK 1+1  2+1 DAİRELER","400 TL","138098-23","09-10-2024","Daire","3 + 1","80 m2","En Üst Kat","4 Yaşında","Klima","5 Katlı","","1","","","","","","","","","","","","","","",""
"Bucakoop mah. 1+1 55m2 FULL eşyalı kiralık daire","21.000 TL","145608-60","09-09-2024","Daire","1 + 1","55 m2","Ara Kat","5 Yaşında","Merkezi (Pay Ölçer)","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","1.060 TL","Güney, Doğu","18.000 TL","Elektrik","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"REF’DEN MÜKEMMEL KONUM D.GAZ+BALKON+EBEVEYN BANYOLU KİRALIK 3+1","21.500 TL","144696-92","29-08-2024","Daire","3 + 1","120 m2","2. Kat","5 Yaşında","Kombi","4 Katlı","Eşyalı Değil","3","Betonarme","İkinci El","Boş","","150 TL","Kuzey, Güney, Doğu, Batı","24.500 TL","Doğalgaz","","","Evet","","","",""
"ADA EMLAKTAN KİRALIK 2+1 EŞYALI DOĞALGAZLI KLİMALI DAİRE","18.000 TL","145203-42","15-10-2024","Daire","2 + 1","75 m2","2. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","","150 TL","","","","","","","Uygun değil","","",""
"bucaPARİSA'DAN TINAZTEPE HASTANESİ YANI D.GAZ. 2+1 KİRALIK DAİRE","15.000 TL","143816-19","16-10-2024","Daire","2 + 1","65 m2","2. Kat","3 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","","","Boş","Kat Mülkiyeti","100 TL","Batı","","","","","","Uygun değil","","",""
"ARGA'DAN BUCA ÇEVİK BİR'DE 3+1 D.GAZLI KİRALIK DAİRE.","22.000 TL","63598-139","07-10-2024","Daire","3 + 1","110 m2","4. Kat","19 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Güney, Batı","22.000 TL","Doğalgaz","","","Evet","","","",""
"SAFİR'den KAMPÜSE YAKINN ÖĞRENCİYE UYGUN AYRI MUTFAK EŞYALI 1+1","14.000 TL","109159-287","14-10-2024","Daire","1 + 1","60 m2","Kot 1","2 Yaşında","Klima","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","","","","","","","Uygun değil","","",""
"ADATEPEDE ÜNİVERSİTE YAKINI SIFIR 1+1 DAİRE","13.000 TL","129980-612","13-10-2024","Daire","1 + 1","50 m2","Yüksek Giriş","Sıfır Bina","Klima","2 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","","","","","","","Uygun değil","","",""
"Buca Efeler Mh. 2+1 80m2 K.Mutfak Sıfır Yüksek Giriş Daire","25.000 TL","24511-9098","08-10-2024","Daire","2 + 1","80 m2","Yüksek Giriş","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","Kat İrtifakı","","Güney","25.000 TL","Doğalgaz","","","Evet","","","",""
"BUCA GÜNLÜK KİRALIK REZİDANS 7/24 GÜVENLİ HİJYENİK","300 TL","138098-24","30-09-2024","Residence","2 + 1","90 m2","En Üst Kat","4 Yaşında","Klima","5 Katlı","","1","","","","","","","","","","","","","","",""
"REF'DEN KAMPÜS KARŞISI LÜKS EŞYALI BALKONLU 2+1 KİRALIK DAİRE","25.000 TL","144696-141","29-09-2024","Daire","2 + 1","80 m2","2. Kat","4 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","100 TL","Güney, Doğu","","","","","","Uygun değil","","",""
"Şirinyer Park - Hipodrom yakını EŞYALI 3+1","24.000 TL","9521-793","10-09-2024","Daire","3 + 1","120 m2","2. Kat","12 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","Güney","48.000 TL","Doğalgaz","","","Evet","","","",""
"Buca Çevik 1'de Eşyalı 1+0 Kiralık Daire","15.000 TL","119895-2563","17-09-2024","Daire","1 + 1","40 m2","Yüksek Giriş","10 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","","","","30.000 TL","Elektrik","","","Evet","","","",""
"İzmir Buca Laleli Mahallesi//Konak Tünelinden Çıkışda Sağa Dönünce//Uçanyol yakını//Önü Açık//2+1/Da","12.000 TL","85846-1868","12-10-2024","Daire","2 + 1","90 m2","4. Kat","25 Yaşında","Soba","4 Katlı","","","Betonarme","İkinci El","Boş","Kat Mülkiyeti","","","13.000 TL","","","","Evet","","","",""
"BUCA AKINCILAR'DA NATO YANI 2+1 KAPALI MUTFAK 80M2 KİRALIK DAİRE","10.000 TL","111716-1097","19-10-2024","Daire","2 + 1","90 m2","1. Kat","15 Yaşında","Belirtilmemiş","2 Katlı","","1","","","","Kat İrtifakı","","","10.000 TL","","","","","","","",""
"Kozağaç Meydanına Çok Yakın Sahibinden Kiralık Daire","16.500 TL","0-43558509","18-10-2024","Daire","2 + 1","67 m2","2. Kat","3 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","100 TL","Güney","20.000 TL","Doğalgaz","45076","39","","","","",""
"BUCA ADA EMLAKTAN YAYLACIK MH. 3+1 SİTE İÇERSİNDE KİRALIK DAİRE","15.000 TL","145203-45","15-10-2024","Daire","3 + 1","160 m2","7. Kat","21 Yaşında","Isıtma Yok","10 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","250 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"SAFİR'den YILDIZ MAH KİRALIK EŞYASIZ 1+1 KAPALI MUTFAK","13.000 TL","109159-296","14-10-2024","Daire","1 + 1","65 m2","Yüksek Giriş","11 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","","","","","","","Uygun değil","","",""
"Buca'da 3+1 Siteiçi Doğalgazlı Asansörlü Otoparklı Ferah Kiralık Daire ESNAFOĞLU'ndan...","26.000 TL","67273-3982","18-09-2024","Daire","3 + 1","150 m2","8. Kat","16 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","26.000 TL","Doğalgaz","","","Evet","","","",""
"Heykel meydan üst kısmında 2+1 Doğalgazlı Klimalı Eşyalı Arakat Daire","18.000 TL","3526-3163","29-09-2024","Daire","2 + 1","70 m2","2. Kat","3 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","100 TL","Güney","18.000 TL","Doğalgaz","","","Evet","","","",""
"ATATÜRK MH'DE FAKÜLTELER YAKINI 1+1 EŞYALI KİRALIK DAİRE","13.750 TL","104457-59","14-10-2024","Daire","1 + 1","60 m2","Yüksek Giriş","4 Yaşında","Isıtma Yok","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","100 TL","Kuzey, Güney, Doğu, Batı","","","","","","Uygun değil","","",""
"Tınaztepe'de Eşyalı 2+1 Kiralık Daire","24.000 TL","129980-618","13-10-2024","Daire","2 + 1","75 m2","Yüksek Giriş","4 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","","","","","","","Uygun değil","","",""
"Buca İnönü Mh. 2+1 100m2 Arakat D.Gazlı Klasik Daire","13.000 TL","24511-9099","09-10-2024","Daire","2 + 1","100 m2","3. Kat","19 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","Kuzey, Güney","13.000 TL","Doğalgaz","","","Evet","","","",""
"ASLAN EMLAK BUCA KURUCEŞME DOĞAL ĞAZLI ASANSÖRLÜ KİRALIK DAİRE","13.000 TL","26765-2808","10-09-2024","Daire","1 + 1","70 m2","1. Kat","5 Yaşında","Kat Kaloriferi","5 Katlı","Eşyalı Değil","1","","","","","100 TL","Kuzey","14.000 TL","Doğalgaz","","","Evet","","","",""
"İZMİR BUCA BUCAKOOP","15.000 TL","37745-1860","24-09-2024","Daire","3 + 1","120 m2","8. Kat","25 Yaşında","Klima","9 Katlı","Eşyalı Değil","1","","İkinci El","Boş","","200 TL","","15.000 TL","Elektrik","","","Evet","","","",""
"bucaPARİSA'DAN TINAZTEPE HASTANESİ YANI D.GAZ. 2+1 KİRALIK DAİRE","15.000 TL","143816-24","14-10-2024","Daire","2 + 1","70 m2","2. Kat","4 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","90 TL","","","","","","","Uygun değil","","",""
"SAFİR'den SİTE İÇERİSİNDE KİRALIK EŞYALI 3+1 DAİRE","20.000 TL","109159-299","14-10-2024","Daire","3 + 1","130 m2","3. Kat","11 Yaşında","Kombi","7 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","","","","","","","","Uygun değil","","",""
"BUCA ADA EMLAKTAN YILDIZ MAH. 2+1 EŞYALI KİRALIK DAİRE","22.000 TL","145203-53","15-10-2024","Daire","2 + 1","85 m2","1. Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","150 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"İNÖNÜ MAH. SIFIR 1+1 KİRALIK DUBLEKS","13.000 TL","141901-220","25-09-2024","Daire","1 + 1","70 m2","1. Kat","Sıfır Bina","Isıtma Yok","2 Katlı","Eşyalı Değil","1","","Sıfır","Boş","","","","26.000 TL","","","","Evet","Uygun değil","","Hayır",""
"Özevim Emlaktan Merkezi Konumda Öğrenciye Bekara Uygun  Kiralık Eşyalı 3+1 Daire","25.000 TL","94107-1325","23-08-2024","Daire","3 + 1","146 m2","2. Kat","20 Yaşında","Kombi","10 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","Güney, Doğu","25.000 TL","Doğalgaz","","","Evet","","","",""
"MERKEZi LOKASYONDA,KAPALI MUTFAK,ARA KAT, 2+1 KİRALIK DAİRE","21.500 TL","142478-78","18-10-2024","Daire","2 + 1","95 m2","2. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","","","Güney, Batı","","","","","","Uygun değil","","",""
"Buca Şirinyer Hürriyet Mah 1+1 60 M2 D.gaz Asansör Otopark","17.000 TL","83461-582","11-10-2024","Daire","1 + 1","60 m2","3. Kat","Sıfır Bina","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","","250 TL","Doğu","","","","","","Uygun değil","","",""
"BUCA ATATÜRK MAH  1+1 FULL ESYALI ASANSÖRLÜ D.GAZLI KLIMALI BALKONLU LÜKS DAIRE","17.500 TL","111716-691","19-10-2024","Daire","1 + 1","65 m2","2. Kat","7 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","","","","","","17.500 TL","Doğalgaz","","","","","","",""
