"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"TINAZTEPE HASTANESİ YANI ÜNİ. KARŞISI FIRSAT 1+1","11.500 TL","144837-57","14-08-2024","Daire","1 + 1","55 m2","1. Kat","Sıfır Bina","Kombi","2 Katlı","Eşyalı Değil","1","","","Boş","","250 TL","Güney, Doğu","","","","","","Uygun değil","","",""
"DEPOZİTOSUZ ŞİRİNYER METRO 200m 3+1 120M BALKON 2 CEPHE ARAKAT","28.500 TL","130324-709","15-10-2024","Daire","3 + 1","120 m2","3. Kat","9 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","","100 TL","Doğu, Batı","","Doğalgaz","","","","","","",""
"MARKA'DAN CADDE ÜZERİNDE 3+1 ARAKAT D.GAZLI KİRALIK DAİRE","20.000 TL","71024-1019","15-09-2024","Daire","3 + 1","120 m2","2. Kat","21 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"KİRALIK 1+1 DOĞALGAZLI BALKONLU GENİŞ BİR DAİRE","13.500 TL","145608-102","15-09-2024","Daire","1 + 1","65 m2","Kot 2","4 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Kuzey, Güney, Batı","13.500 TL","Doğalgaz","","","Evet","","","",""
"ARGA'DAN BUCA ÇEVİK BİR YAKINI 3+1 EŞYALI D.GAZLI KİRALIK DAİRE.","23.000 TL","63598-87","03-10-2024","Daire","3 + 1","125 m2","Ara Kat","25 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","Kuzey, Güney","23.000 TL","Doğalgaz","","","Evet","","","",""
"REF'DEN KAMPÜS KARŞISI GENİŞ D.GAZLI KİRALIK 1+1 DAİRE","17.500 TL","144696-143","29-09-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","200 TL","","","","","","","Uygun değil","","",""
"Güneş'ten Evka 1 Cumhuriyet mh. de 3+1 130m2","20.000 TL","130324-738","15-10-2024","Daire","3 + 1","130 m2","En Üst Kat","21 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Güney, Doğu, Batı","20.000 TL","Doğalgaz","","","","","","",""
"YAYLACIK MAHALLESİNDE 1+1 65 M2 BALKONLU DOĞALGAZLI EŞYALI KİRALIK EV","19.000 TL","24511-8970","04-09-2024","Daire","1 + 1","65 m2","Ara Kat","7 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","","","","Güney","23.000 TL","Doğalgaz","","","Evet","","","",""
"ER YAPI EMLAK OFİSİNDEN T.TEPE KAMPÜS KARŞISI CADDE ÜZERİ","15.500 TL","68864-2451","12-10-2024","Daire","1 + 1","49 m2","Ara Kat","10 Yaşında","Klima","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","","","Elektrik","","","Evet","","","",""
"MARKA'DAN HASANAĞA YAKINI 3+1 D.GAZLI BALKONLU KİRALIK DAİRE","22.000 TL","71024-1021","02-10-2024","Daire","3 + 1","105 m2","3. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Güney, Doğu","","","","","","Uygun değil","","",""
"Buca Adatepe mh. sahibinden kiralik 1+1 esyali daire","19.000 TL","0-40406526","26-09-2024","Daire","1 + 1","50 m2","Ara Kat","5 Yaşında","Klima","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","Kat İrtifakı","","","19.000 TL","Elektrik","","","","","","",""
"EROĞLU GAYRİMENKULDEN 1+1","15.000 TL","145579-33","02-10-2024","Daire","1 + 1","65 m2","3. Kat","8 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","50 TL","Kuzey, Güney","17.000 TL","Doğalgaz","","","Evet","","","",""
"Merkezi Konumda Kiralık 2+1 Daire 100 Metrekare","10.000 TL","0-43399168","12-10-2024","Daire","2 + 1","110 m2","3. Kat","8 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","200 TL","","","Doğalgaz","","","","","","",""
"ÇEVİKBİR MEYDAN BUCA SSK HASTANE YANI MERKEZİ KONUM 3+1 D.GAZLI KİRALIK LÜKS DAİRELER","25.000 TL","111716-1015","12-10-2024","Daire","3 + 1","130 m2","3. Kat","10 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","","Güney, Doğu, Batı","22.000 TL","Doğalgaz","","","Evet","","","",""
"YAYLACIK MAHALLESİNDE 1+1 55 M2 BALKONLU DOĞALGAZLI EŞYALI KİRALIK EV","19.000 TL","24511-8981","26-09-2024","Daire","1 + 1","60 m2","Ara Kat","7 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Kiracılı","","","Güney","21.000 TL","Doğalgaz","","","Evet","","","",""
"GÜNEŞ EMLAK'TAN ŞİRİNYER İZBAN YANI 3+1 135 m2 D.GAZLI Y. GİRİŞ BAHÇELİ YENİ LÜKS DAİRE","24.000 TL","130324-741","15-10-2024","Daire","3 + 1","135 m2","Yüksek Giriş","9 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","50 TL","Kuzey, Güney","24.000 TL","Doğalgaz","","","","","","",""
"HASAN AĞA PARKININ YANINDA FULL EŞYALI KİRALIK 2+1","24.900 TL","144837-48","14-08-2024","Daire","2 + 1","85 m2","1. Kat","4 Yaşında","Kombi","6 Katlı","Eşyalı","1","","","Boş","","300 TL","Doğu","","","","","","Uygun değil","","",""
"GÜNEŞ EMLAK'TAN 2+1 110 M2 D.GAZLI K.MUTFAK CADDE ÜZERİ ÖNÜ AÇIK SIFIR AYARINDA LÜKS DAİRE","21.500 TL","130324-743","15-10-2024","Daire","2 + 1","120 m2","3. Kat","10 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","50 TL","Doğu, Batı","21.500 TL","Doğalgaz","","","","","","",""
"Yenigün Mah. Site İçi 4+1 285M2 Teraslı Havuzlu Ultra Lüks Daire","50.000 TL","24511-8996","16-08-2024","Daire","4 + 1","285 m2","8. Kat","5 Yaşında","Yerden Isıtma","8 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Mülk Sahibi","","1.250 TL","Güney, Doğu, Batı","50.000 TL","Doğalgaz","","","Evet","","","",""
"BUCA ATATÜRK MAHALLESİNDE  KİRALIK 1+1 DAİRE","11.000 TL","126264-1770","23-09-2024","Daire","1 + 1","50 m2","Yüksek Giriş","7 Yaşında","Klima","3 Katlı","Eşyalı Değil","1","","İkinci El","Boş","Kat İrtifakı","150 TL","Güney, Doğu","12.500 TL","","","","Evet","","","",""
"Buca Yeşilbağlar'da 1+1 Ayrı Mutfaklı  Kiralık Daire","12.000 TL","51456-7193","25-09-2024","Daire","1 + 1","85 m2","Zemin","20 Yaşında","Soba","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","","Kömür-Odun","","","","","","",""
"SAHİBİNDEN 1+1 FULL EŞYALI DOĞALGAZLI DAİRE","19.000 TL","0-43112191","07-08-2024","Daire","1 + 1","55 m2","2. Kat","5 Yaşında","Kombi","4 Katlı","Eşyalı","1","","İkinci El","Boş","","100 TL","Güney","19.000 TL","Doğalgaz","","","","","","",""
"ER YAPI EMLAK OFİSİ 2+1 EŞYASIZ KLİMALI HASANAĞA BAHÇESİ YANINDA","20.000 TL","68864-2443","10-10-2024","Daire","2 + 1","75 m2","2. Kat","5 Yaşında","Klima","4 Katlı","Eşyalı Değil","1","","","Boş","","","","","","","","","Uygun değil","","",""
"Turyap Buca'dan Atatürk Mh.de Öğrenciye Kiralık 1+0 Daire","12.500 TL","15356-5708","19-09-2024","Daire","1 + 0","40 m2","2. Kat","13 Yaşında","Klima","4 Katlı","Eşyalı Değil","1","","İkinci El","Boş","","","","15.000 TL","Elektrik","","","","","","Hayır",""
"İSCİEVLERİNDE 3+1 SIFIR KİRALİK DAİRE","28.000 TL","14003-1457","02-09-2024","Daire","3 + 1","130 m2","Giriş Katı","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","","Doğu, Batı","","Doğalgaz","","","","","","",""
"SAFİR'den DoğalGazlı Eşyalı 2+1 Kiralık Daire","25.000 TL","109159-251","12-09-2024","Daire","2 + 1","85 m2","2. Kat","3 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney, Doğu","","","","","","Uygun değil","","",""
"ÖĞRENCİYE EŞYALI KİRALIK 3+1","30.000 TL","144436-41","09-10-2024","Daire","3 + 1","130 m2","7. Kat","11 Yaşında","Kombi","7 Katlı","Eşyalı","1","","","Mülk Sahibi","","1 TL","Güney, Batı","","","","","","Uygun değil","","",""
"Buca Hasanağa Bahçesine Yürüme mesafesinde 1+1 Esyali Kiralık Daire","17.000 TL","51456-7178","12-10-2024","Daire","1 + 1","50 m2","En Üst Kat","8 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","50 TL","","17.000 TL","Doğalgaz","","","","","","",""
"VİRAJ EMLAK MY VİA SİTE İÇİNDE HAVUZLU EŞYALI KİRALIK BUCA","16.000 TL","98587-1443","26-09-2024","Daire","1 + 1","50 m2","Yüksek Giriş","7 Yaşında","Klima","5 Katlı","Eşyalı","1","","","","","","","16.000 TL","","","","Evet","","Evet (Site Adı Belirtilmemiş)","",""
"BUCA- SEYFİ DEMİRSOY HASTANESİ YANI KİRALIK 3+1 EŞYALI DAİRE","26.000 TL","146515-135","05-09-2024","Daire","3 + 1","120 m2","4. Kat","26 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","","","","","","","","","","",""
"BUCA ADA EMLAKTAN DUMLUPINAR MH. 1+1 MH KİRALIK DAİRE","14.000 TL","145203-49","25-09-2024","Daire","1 + 1","70 m2","2. Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","100 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"1+1 eşyalı Kurucesme kiralık daire","15.000 TL","0-43073690","02-09-2024","Daire","1 + 1","45 m2","2. Kat","15 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","50 TL","Kuzey","15.000 TL","Doğalgaz","","","","","","",""
"GOLDİA YAPIDAN İBF YAKINI TEMİZ EŞYALI KİRALIK","16.000 TL","142618-158","26-09-2024","Daire","1 + 1","56 m2","Ara Kat","13 Yaşında","Kombi","6 Katlı","Eşyalı","1","Betonarme","","Boş","","200 TL","Kuzey, Güney, Doğu, Batı","14.500 TL","Doğalgaz","","","Evet","","","",""
"ARGA'DAN HASANAĞA BAHÇESİ YANI EŞYALI 1+1 KİRALIK DAİRE.","15.000 TL","63598-111","04-08-2024","Daire","1 + 1","45 m2","Yüksek Giriş","6 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","Güney","15.000 TL","Doğalgaz","","","Evet","","","",""
"ER YAPI EMLAK OFİSİ 3+1 T.KAMPÜSE 3DK SİTE İÇİ OTOPARK ASANSÖRLÜ","24.000 TL","68864-2437","10-10-2024","Daire","3 + 1","140 m2","8. Kat","16 Yaşında","Kombi","9 Katlı","Eşyalı Değil","1","","","Boş","","","","","","","","","Uygun değil","Evet (Site Adı Belirtilmemiş)","",""
"MARKA’DAN EŞYALI 1+1 KLİMALI KİRALIK DAİRE","13.000 TL","71024-1022","02-10-2024","Daire","1 + 1","55 m2","Giriş Katı","4 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","","","","12.000 TL","","","","","","","",""
"VİRAJ EMLAK KİRALIK 3+1 125m ARA KAT ŞİRİNYER İZBAN CİVARI","22.000 TL","98587-1446","26-09-2024","Daire","3 + 1","125 m2","3. Kat","20 Yaşında","Kombi","4 Katlı","","2","","","Boş","","","","22.000 TL","","","","Evet","","","",""
